1000 4 0 1733011976594225588 0
1004 4 0 1733011976595291074 0
1000 4 1 1733011976648097575 0
1004 4 1 1733011976648910289 0
1000 4 2 1733011976701038472 0
1004 4 2 1733011976701856897 0
1000 4 3 1733011976755428088 0
1004 4 3 1733011976756234243 0
1000 4 4 1733011976809182482 0
1004 4 4 1733011976810052406 0
1000 4 5 1733011976861806256 0
1004 4 5 1733011976862619669 0
1000 4 6 1733011976913299996 0
1004 4 6 1733011976914154015 0
1000 4 7 1733011976966139505 0
1004 4 7 1733011976966954070 0
1000 4 8 1733011977018639573 0
1004 4 8 1733011977019498057 0
1000 4 9 1733011977044560594 0
1004 4 9 1733011977045379479 0
