1000 4 0 1733011348756129140 0
1004 4 0 1733011348756533393 0
1000 4 1 1733011348818914250 0
1004 4 1 1733011348819102712 0
1000 4 2 1733011348852797394 0
1004 4 2 1733011348852993557 0
1000 4 3 1733011348886437276 0
1004 4 3 1733011348886732719 0
1000 4 4 1733011348924059365 0
1004 4 4 1733011348924336352 0
1000 4 5 1733011348961585061 0
1004 4 5 1733011348961851919 0
1000 4 6 1733011348999305284 0
1004 4 6 1733011348999555440 0
1000 4 7 1733011349034444356 0
1004 4 7 1733011349034706335 0
1000 4 8 1733011349066146556 0
1004 4 8 1733011349066363198 0
1000 4 9 1733011349093672474 0
1004 4 9 1733011349093881570 0
