1001 4 0 1733102136839042172 0
1001 4 0 1733102136866406150 0
1002 4 0 1733102136873605099 0
1001 4 0 1733102136894588816 0
1001 4 0 1733102136923895956 0
1002 4 0 1733102136928563895 0
1001 4 0 1733102136933436665 0
1001 4 0 1733102136943547890 0
1002 4 0 1733102136946898637 0
1001 4 0 1733102136953154705 0
1001 4 0 1733102136963262452 0
1002 4 0 1733102136966629395 0
1001 4 0 1733102136971819581 0
1001 4 0 1733102136981931445 0
1002 4 0 1733102136985274212 0
1001 4 0 1733102136991508402 0
1001 4 0 1733102137001611703 0
1002 4 0 1733102137004945448 0
1001 4 0 1733102137011100297 0
1001 4 0 1733102137021210576 0
1002 4 0 1733102137024488932 0
1001 4 0 1733102137030642247 0
1001 4 0 1733102137040751476 0
1002 4 0 1733102137044073072 0
1001 4 0 1733102137048919099 0
1001 4 0 1733102137059027673 0
1002 4 0 1733102137062404920 0
1001 4 0 1733102137068766338 0
1001 4 0 1733102158627396565 0
1002 4 0 1733102158630722789 0
1003 4 0 1733102158637529410 0
